@lat,@lon
49.9944587,36.2396318
49.9937257,36.2402355
49.9921965,36.2404172
50.0073012,36.2250856
50.0068850,36.2231965
50.0086262,36.2310341
50.0110106,36.2317206
50.0125147,36.2349541
50.0247800,36.2280236
50.0254740,36.2195460
50.0255387,36.2129889
50.0250248,36.2168422
50.0322718,36.2304388
50.0367210,36.2332856
50.0353216,36.2338103
50.0347642,36.2371794
50.0327087,36.2372727
49.9879916,36.2372992
49.9978772,36.2251387
49.9971516,36.2231444
49.9967133,36.2207196
49.9982955,36.2214122
49.9965251,36.2292206
49.9878730,36.2338450
49.9863541,36.2325968
49.9856658,36.2321721
49.9847946,36.2350081
49.9862151,36.2165243
49.9928365,36.2199105
50.0141962,36.2229454
50.0134978,36.2249107
50.0025916,36.2740388
50.0011666,36.2715120
49.9783623,36.1531662
49.9907839,36.1544586
49.9917140,36.1578980
49.9833191,36.1511231
49.9829643,36.1484296
49.9859708,36.1440741
49.9865332,36.1516257
49.9838351,36.1567129
50.0433803,36.3583407
50.0354136,36.3516436
50.0120764,36.3616360
50.0159283,36.3672543
50.0039405,36.3489762
49.9942845,36.3508537
49.9859002,36.3647134
49.9867732,36.3187937
49.9833904,36.3650796
49.9876329,36.3594616
49.9858040,36.2507301
50.0260627,36.3151216
50.0422212,36.2479827
50.0380075,36.2405238
50.0363339,36.2342018
50.0271783,36.2121729
50.0389364,36.2222223
50.0344024,36.2288751
49.9808420,36.2339519
49.9821004,36.2351124
49.9890503,36.2579487
49.9900840,36.2615528
49.9854911,36.2548570
50.0065202,36.1755641
50.0496185,36.2950429
50.0016658,36.2333330
50.0018799,36.2312966
49.9997388,36.2339522
50.0003693,36.2284264
49.9998017,36.2327030
50.0012239,36.2296103
49.9979439,36.2043297
49.9621812,36.3194960
49.9403193,36.2971070
49.9199479,36.2749099
50.0417312,36.3502914
50.0329682,36.3690809
50.0256667,36.2211231
50.0117786,36.2184824
50.0996156,36.2672778
49.9855808,36.2295709
49.9948097,36.2340948
49.9946520,36.2351416
49.9948521,36.2329988
50.0041789,36.2322347
50.0705557,36.2081113
50.0671895,36.2017410
50.0407119,36.2302408
49.9640261,36.3058041
50.0244008,36.2392525
